symbol,underlying,strike,expiration,option_type,bid,ask,last,volume,open_interest,delta,gamma,theta,vega,implied_volatility,mid_price,days_to_expiration,underlying_price,moneyness
SPY250730C00540000,SPY,540.0,2025-07-30,C,93.74,96.51,96.0,5,5,0.9998478748923114,2.3705959841517873e-05,-5.78854444925362e-07,7.882475490985107e-06,1.3437532812499997,95.125,1,635.260009765625,0.8500456375323066
SPY250730C00545000,SPY,545.0,2025-07-30,C,88.76,91.52,93.04,1,2,0.973611898425265,2.4396961913410176e-05,-5.691017015659626e-07,8.11224078765838e-06,1.2836949877929684,90.14,1,635.260009765625,0.8579164304724205
SPY250730C00550000,SPY,550.0,2025-07-30,C,83.74,86.52,73.53,0,1,0.9473759219582185,2.5069250224195585e-05,-5.565348592257584e-07,8.335783566270562e-06,1.2216835791015623,85.13,1,635.260009765625,0.8657872234125344
SPY250730C00565000,SPY,565.0,2025-07-30,C,68.73,71.52,71.34,1,1,0.8686679925570789,2.6947749088237286e-05,-5.071395997870908e-07,8.960403761134775e-06,1.035649353027344,70.125,1,635.260009765625,0.8893996022328763
SPY250730C00580000,SPY,580.0,2025-07-30,C,53.75,56.53,56.55,291,7,0.7899600631559394,2.8566049404330254e-05,-4.4178469687654243e-07,9.498505262357918e-06,0.8510757080078125,55.14,1,635.260009765625,0.9130119810532181
SPY250730C00590000,SPY,590.0,2025-07-30,C,43.74,46.53,45.95,0,77,0.7374881102218465,2.9469466520152623e-05,-3.885572922432913e-07,9.798900746076507e-06,0.725588681640625,45.135000000000005,1,635.260009765625,0.928753566933446
SPY250730C00595000,SPY,595.0,2025-07-30,C,38.74,41.54,40.03,4,9,0.7112521337547999,2.9862379423017486e-05,-3.5995531803457484e-07,9.929548327850435e-06,0.663333444824219,40.14,1,635.260009765625,0.93662435987356
SPY250730P00595000,SPY,595.0,2025-07-30,P,0.02,0.03,0.02,224,540,-0.28874786624520005,2.9862379423017486e-05,-1.907775441887008e-07,9.929548327850435e-06,0.35156898437499995,0.025,1,635.260009765625,1.0676638819590336
SPY250730P00596000,SPY,596.0,2025-07-30,P,0.02,0.03,0.02,1339,19,-0.2939950615386093,2.9936024349552562e-05,-1.8699819376001906e-07,9.95403602344804e-06,0.3437565625,0.025,1,635.260009765625,1.0658724996067535
SPY250730P00597000,SPY,597.0,2025-07-30,P,0.02,0.03,0.02,2286,78,-0.29924225683201866,3.0007991860959683e-05,-1.8318769348760781e-07,9.977965961261411e-06,0.335944140625,0.025,1,635.260009765625,1.0640871185353853
SPY250730P00598000,SPY,598.0,2025-07-30,P,0.02,0.03,0.02,26,171,-0.30448945212542794,3.0078268997532374e-05,-1.782791732633668e-07,1.0001333832054844e-05,0.32617861328125,0.025,1,635.260009765625,1.062307708638169
SPY250730P00599000,SPY,599.0,2025-07-30,P,0.02,0.03,0.03,28,321,-0.3097366474188372,3.0146843083325553e-05,-1.7440585992155475e-07,1.0024135420946205e-05,0.31836619140624994,0.025,1,635.260009765625,1.0605342400093907
SPY250730C00600000,SPY,600.0,2025-07-30,C,33.77,36.54,35.64,10,13,0.6850161572877534,3.0213701729964694e-05,-3.289377703263264e-07,1.004636660867354e-05,0.5991251025390626,35.155,1,635.260009765625,0.9444951528136739
SPY250730P00600000,SPY,600.0,2025-07-30,P,0.03,0.04,0.03,314,2301,-0.31498384271224655,3.0213701729964694e-05,-1.769372790681062e-07,1.004636660867354e-05,0.32227240234374993,0.035,1,635.260009765625,1.0587666829427083
SPY250730C00601000,SPY,601.0,2025-07-30,C,32.77,35.55,37.1,10,10,0.6797689619943441,3.0278832840374584e-05,-3.2319910268197636e-07,1.0068023372834908e-05,0.5874064697265625,34.16,1,635.260009765625,0.9460693114016968
SPY250730P00601000,SPY,601.0,2025-07-30,P,0.03,0.04,0.03,1246,229,-0.3202310380056559,3.0278832840374584e-05,-1.7194557225248965e-07,1.0068023372834908e-05,0.31250687499999996,0.035,1,635.260009765625,1.0570050079294926
SPY250730C00602000,SPY,602.0,2025-07-30,C,31.79,34.55,35.81,1,1,0.6745217667009349,3.034222461242615e-05,-3.167414537123653e-07,1.0089101789100992e-05,0.5744671459960937,33.17,1,635.260009765625,0.9476434699897196
SPY250730P00602000,SPY,602.0,2025-07-30,P,0.03,0.04,0.03,853,246,-0.3254782332990651,3.034222461242615e-05,-1.6799805644858043e-07,1.0089101789100992e-05,0.304694453125,0.035,1,635.260009765625,1.0552491856571844
SPY250730P00603000,SPY,603.0,2025-07-30,P,0.03,0.04,0.04,262,201,-0.33072542859247445,3.040386554249983e-05,-1.640230964950854e-07,1.0109598032399959e-05,0.29688203124999996,0.035,1,635.260009765625,1.05349918700767
SPY250730P00604000,SPY,604.0,2025-07-30,P,0.03,0.04,0.03,1025,140,-0.3359726238858838,3.046374442896389e-05,-1.6002137922071315e-07,1.0129508378074039e-05,0.2890696093749999,0.035,1,635.260009765625,1.0517549830556705
SPY250730C00605000,SPY,605.0,2025-07-30,C,28.79,31.55,30.42,7,15,0.658780180820707,3.052185037556639e-05,-2.9681614729392624e-07,1.0148829203007375e-05,0.5351608984375,30.17,1,635.260009765625,0.952365945753788
SPY250730P00605000,SPY,605.0,2025-07-30,P,0.03,0.04,0.04,1143,2523,-0.34121981917929306,3.052185037556639e-05,-1.5491034900724202e-07,1.0148829203007375e-05,0.27930408203124996,0.035,1,635.260009765625,1.0500165450671488
SPY250730C00606000,SPY,606.0,2025-07-30,C,27.79,30.55,29.94,1,30,0.6535329855272977,3.057817279473918e-05,-2.9003843367535896e-07,1.0167556986724656e-05,0.5219774365234374,29.17,1,635.260009765625,0.9539401043418108
SPY250730P00606000,SPY,606.0,2025-07-30,P,0.03,0.04,0.04,1744,2594,-0.34646701447270234,3.057817279473918e-05,-1.5085521012574639e-07,1.0167556986724656e-05,0.27149166015625,0.035,1,635.260009765625,1.048283844497731
SPY250730C00607000,SPY,607.0,2025-07-30,C,26.78,29.56,29.38,26,24,0.6482857902338883,3.0632701410812584e-05,-2.8382869096912696e-07,1.0185688312460017e-05,0.509892596435547,28.17,1,635.260009765625,0.9555142629298335
SPY250730P00607000,SPY,607.0,2025-07-30,P,0.04,0.05,0.04,610,259,-0.3517142097661117,3.0632701410812584e-05,-1.5112422312043502e-07,1.0185688312460017e-05,0.27149166015625,0.045,1,635.260009765625,1.0465568529911449
SPY250730C00608000,SPY,608.0,2025-07-30,C,25.79,28.56,27.68,2,1,0.6430385949404791,3.0685426263139486e-05,-2.768980226010747e-07,1.0203219868195833e-05,0.49658706542968756,27.174999999999997,1,635.260009765625,0.9570884215178563
SPY250730P00608000,SPY,608.0,2025-07-30,P,0.04,0.05,0.04,1545,812,-0.35696140505952095,3.0685426263139486e-05,-1.464835861098787e-07,1.0203219868195833e-05,0.26270268554687504,0.045,1,635.260009765625,1.0448355423776727
SPY250730C00609000,SPY,609.0,2025-07-30,C,24.79,27.56,26.41,1,9,0.6377913996470698,3.07363377091274e-05,-2.6985775414020414e-07,1.0220148447670921e-05,0.4831594653320313,26.174999999999997,1,635.260009765625,0.9586625801058791
SPY250730P00609000,SPY,609.0,2025-07-30,P,0.04,0.05,0.04,1100,189,-0.36220860035293023,3.07363377091274e-05,-1.418177407161232e-07,1.0220148447670921e-05,0.25391371093750004,0.045,1,635.260009765625,1.043119884672619
SPY250730C00610000,SPY,610.0,2025-07-30,C,23.79,26.56,25.26,53,34,0.6325442043536604,3.078542642717723e-05,-2.6277708247191464e-07,1.0236470951357695e-05,0.46973186523437505,25.174999999999997,1,635.260009765625,0.9602367386939019
SPY250730P00610000,SPY,610.0,2025-07-30,P,0.04,0.05,0.05,4460,1851,-0.36745579564633957,3.078542642717723e-05,-1.371275142721322e-07,1.0236470951357695e-05,0.245124736328125,0.045,1,635.260009765625,1.041409852074795
SPY250730C00611000,SPY,611.0,2025-07-30,C,22.79,25.57,24.59,3,32,0.6272970090602512,3.0832683419527525e-05,-2.5620440829732157e-07,1.0252184387407918e-05,0.4572808178710938,24.18,1,635.260009765625,0.9618108972819247
SPY250730P00611000,SPY,611.0,2025-07-30,P,0.05,0.06,0.05,1860,439,-0.37270299093974885,3.0832683419527525e-05,-1.3569658787006307e-07,1.0252184387407918e-05,0.242195078125,0.055,1,635.260009765625,1.0397054169650164
SPY250730C00612000,SPY,612.0,2025-07-30,C,21.79,24.57,22.97,11,52,0.6220498137668419,3.0878100015002924e-05,-2.4904752646066326e-07,1.0267285872566593e-05,0.44385321777343745,23.18,1,635.260009765625,0.9633850558699475
SPY250730P00612000,SPY,612.0,2025-07-30,P,0.05,0.06,0.05,2488,1853,-0.3779501862331581,3.0878100015002924e-05,-1.3151289310723956e-07,1.0267285872566593e-05,0.23438265625,0.055,1,635.260009765625,1.038006551904616
SPY250730C00613000,SPY,613.0,2025-07-30,C,20.8,23.58,24.43,1,0,0.6168026184734325,3.092166787166577e-05,-2.42265561465241e-07,1.0281772633053641e-05,0.43115803222656257,22.189999999999998,1,635.260009765625,0.9649592144579703
SPY250730P00613000,SPY,613.0,2025-07-30,P,0.06,0.07,0.05,142,1271,-0.38319738152656746,3.092166787166577e-05,-1.2950357236718497e-07,1.0281772633053641e-05,0.2304764453125,0.065,1,635.260009765625,1.0363132296339723
SPY250730C00614000,SPY,614.0,2025-07-30,C,21.11,21.3,22.11,2,28,0.6115554231800232,3.096337897936958e-05,-1.1484283458716891e-07,1.0295642005412962e-05,0.20410952148437497,21.205,1,635.260009765625,0.9665333730459931
SPY250730P00614000,SPY,614.0,2025-07-30,P,0.06,0.07,0.06,270,918,-0.38844457681997674,3.096337897936958e-05,-1.241836601229195e-07,1.0295642005412962e-05,0.22071091796874998,0.065,1,635.260009765625,1.0346254230710505
SPY250730C00615000,SPY,615.0,2025-07-30,C,20.06,20.32,20.31,54,90,0.606308227886614,3.10032256622134e-05,-1.1664112777241275e-07,1.0308891437328533e-05,0.20703917968749996,20.189999999999998,1,635.260009765625,0.9681075316340159
SPY250730P00615000,SPY,615.0,2025-07-30,P,0.07,0.08,0.07,3287,3501,-0.393691772113386,3.10032256622134e-05,-1.2214280201777348e-07,1.0308891437328533e-05,0.21680470703125,0.07500000000000001,1,635.260009765625,1.0329431053099594
SPY250730C00616000,SPY,616.0,2025-07-30,C,19.08,19.33,18.89,2,152,0.6010610325932046,3.104120058089586e-05,-1.14580632749533e-07,1.0321518488407156e-05,0.20313296874999998,19.205,1,635.260009765625,0.9696816902220387
SPY250730P00616000,SPY,616.0,2025-07-30,P,0.07,0.08,0.08,2446,1071,-0.39893896740679535,3.104120058089586e-05,-1.1678399798180474e-07,1.0321518488407156e-05,0.20703917968749996,0.07500000000000001,1,635.260009765625,1.031266249619521
SPY250730C00617000,SPY,617.0,2025-07-30,C,18.09,18.36,18.7,9,155,0.5958138372997953,3.1077296734968195e-05,-1.1581683615097163e-07,1.033352083092761e-05,0.20508607421874997,18.225,1,635.260009765625,0.9712558488100614
SPY250730P00617000,SPY,617.0,2025-07-30,P,0.08,0.09,0.09,307,2857,-0.40418616270020463,3.1077296734968195e-05,-1.1388664966896606e-07,1.033352083092761e-05,0.2016681396484375,0.08499999999999999,1,635.260009765625,1.0295948294418558
SPY250730C00618000,SPY,618.0,2025-07-30,C,17.09,17.36,17.19,16,8,0.5905666420063861,3.111150746498487e-05,-1.1042344107964393e-07,1.034489625055575e-05,0.195320546875,17.225,1,635.260009765625,0.9728300073980842
SPY250730P00618000,SPY,618.0,2025-07-30,P,0.09,0.1,0.09,1063,3147,-0.40943335799361397,3.111150746498487e-05,-1.106994855487249e-07,1.034489625055575e-05,0.1958088232421875,0.095,1,635.260009765625,1.027928818390979
SPY250730C00619000,SPY,619.0,2025-07-30,C,16.1,16.37,17.08,2,39,0.5853194467129768,3.1143826454551235e-05,-1.0694584425840404e-07,1.0355642647025391e-05,0.1889729541015625,16.235,1,635.260009765625,0.974404165986107
SPY250730P00619000,SPY,619.0,2025-07-30,P,0.1,0.11,0.1,683,772,-0.41468055328702325,3.1143826454551235e-05,-1.0722217548563471e-07,1.0355642647025391e-05,0.18946123046875002,0.10500000000000001,1,635.260009765625,1.0262681902514135
SPY250730C00620000,SPY,620.0,2025-07-30,C,15.12,15.33,15.13,529,253,0.5800722514195674,3.117424773226709e-05,-9.405005498702629e-08,1.0365758034784536e-05,0.16602396484375004,15.225,1,635.260009765625,0.9759783245741298
SPY250730P00620000,SPY,620.0,2025-07-30,P,0.11,0.12,0.11,4500,7933,-0.4199277485804326,3.117424773226709e-05,-1.0317789285344675e-07,1.0365758034784536e-05,0.1821370849609375,0.11499999999999999,1,635.260009765625,1.0246129189768145
SPY250730C00621000,SPY,621.0,2025-07-30,C,14.13,14.4,14.26,30,82,0.5748250561261582,3.120276567356551e-05,-1.005037373287046e-07,1.0375240543606831e-05,0.1772543212890625,14.265,1,635.260009765625,0.9775524831621526
SPY250730P00621000,SPY,621.0,2025-07-30,P,0.12,0.13,0.13,841,9780,-0.42517494387384186,3.120276567356551e-05,-9.911946642927763e-08,1.0375240543606831e-05,0.174812939453125,0.125,1,635.260009765625,1.0229629786886072
SPY250730C00622000,SPY,622.0,2025-07-30,C,13.2,13.32,13.21,26,52,0.5695778608327489,3.122937500244595e-05,-8.147021650132752e-08,1.0384088419167822e-05,0.143563251953125,13.26,1,635.260009765625,0.9791266417501754
SPY250730P00622000,SPY,622.0,2025-07-30,P,0.14,0.15,0.14,1503,1462,-0.43042213916725114,3.122937500244595e-05,-9.61560012179659e-08,1.0384088419167822e-05,0.1694418994140625,0.14500000000000002,1,635.260009765625,1.0213183436746383
SPY250730C00623000,SPY,623.0,2025-07-30,C,12.22,12.34,12.41,11,169,0.5643306655393395,3.125407079310104e-05,-8.01480951217708e-08,1.0392300023585894e-05,0.14112187011718752,12.280000000000001,1,635.260009765625,0.9807008003381982
