contract_symbol,last_trade_date,strike,last,bid,ask,change,percentChange,volume,open_interest,implied_volatility,inTheMoney,contract_size,currency,option_type,expiration,date,underlying,underlying_price,mid_price,bid_ask_spread,spread_pct,days_to_expiration,moneyness,delta,gamma,theta,vega
SPY250729P00609000,2025-07-28 20:13:19+00:00,609.0,0.02,0.0,0.01,0.0,0.0,1067.0,1593,0.304694453125,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0444093400425902,-0.3582632998386778,3.066032670183803e-05,-0.0,0.0
SPY250729C00610000,2025-07-29 14:35:07+00:00,610.0,25.32,26.23,26.5,-1.1100006,-4.199775,10.0,72,0.5229539892578124,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,26.365000000000002,0.2699999999999996,0.010240849611226989,0,0.9590512050418358,0.6364959831938806,3.0710663363403646e-05,-0.0,0.0
SPY250729P00610000,2025-07-29 16:14:10+00:00,610.0,0.01,0.0,0.01,-0.02,-66.66667,308.0,1881,0.29688203124999996,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.042697193583504,-0.3635040168061195,3.0710663363403646e-05,-0.0,0.0
SPY250729C00611000,2025-07-29 14:59:54+00:00,611.0,24.32,25.28,25.54,-0.80000114,-3.184718,39.0,16,0.5161181201171875,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,25.41,0.259999999999998,0.01023219205037379,0,0.9606234201320684,0.6312552662264388,3.0759181796564864e-05,-0.0,0.0
SPY250729P00611000,2025-07-28 19:54:42+00:00,611.0,0.01,0.0,0.01,-0.02,-66.66667,1.0,1790,0.28516339843749994,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0409906515318126,-0.3687447337735612,3.0759181796564864e-05,-0.0,0.0
SPY250729C00612000,2025-07-29 13:50:35+00:00,612.0,25.32,24.27,24.51,1.1999989,4.9751196,1.0,4,0.4931691308593751,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,24.39,0.240000000000002,0.009840098400984092,0,0.9621956352223009,0.626014549258997,3.0805873127691364e-05,-0.0,0.0
SPY250729P00612000,2025-07-29 15:41:03+00:00,612.0,0.01,0.0,0.01,-0.01,-50.0,35.0,2606,0.273444765625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0392896864149306,-0.373985450741003,3.0805873127691364e-05,-0.0,0.0
SPY250729C00613000,2025-07-29 14:29:18+00:00,613.0,24.76,23.25,23.55,0.7600002,3.1666677,5.0,38,0.4858449853515625,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,23.4,0.3000000000000007,0.012820512820512851,0,0.9637678503125334,0.6207738322915554,3.085072880838422e-05,-0.0,0.0
SPY250729P00613000,2025-07-29 14:19:49+00:00,613.0,0.01,0.0,0.01,-0.01,-50.0,12.0,1848,0.26563234375,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0375942709395392,-0.3792261677084447,3.085072880838422e-05,-0.0,0.0
SPY250729C00614000,2025-07-29 16:32:21+00:00,614.0,21.8,22.27,22.43,-1.6300011,-6.9568973,2.0,11,0.4414118359375,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,22.35,0.16000000000000014,0.007158836689038038,0,0.965340065402766,0.6155331153241136,3.089374061808406e-05,-0.0,0.0
SPY250729P00614000,2025-07-29 16:13:51+00:00,614.0,0.01,0.0,0.01,-0.02,-66.66667,124.0,831,0.25391371093750004,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0359043779901262,-0.3844668846758864,3.089374061808406e-05,-0.0,0.0
